METHOD,THRESHOLD,AUPRC_all,BEST_THRESHOLD_all,BEST_F1-SCORE_all,AUPRC_strong,BEST_THRESHOLD_strong,BEST_F1-SCORE_strong,AUPRC_weak,BEST_THRESHOLD_weak,BEST_F1-SCORE_weak,TN_all_seg,FP_all_seg,FN_all_seg,TP_all_seg,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Iou_all_seg,TN_all_class_clas,FP_all_class_clas,FN_all_class_clas,TP_all_class_clas,Recall_all_class_clas,Precision_all_class_clas,F1-score_all_class_clas,Iou_all_class_clas,FPR_all_class_clas,TN_strong_seg,FP_strong_seg,FN_strong_seg,TP_strong_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg,Iou_strong_seg,TN_strong_class_clas,FP_strong_class_clas,FN_strong_class_clas,TP_strong_class_clas,Recall_strong_class_clas,Precision_strong_class_clas,F1-score_strong_class_clas,Iou_strong_class_clas,FPR_strong_class_clas,TN_weak_seg,FP_weak_seg,FN_weak_seg,TP_weak_seg,Recall_weak_seg,Precision_weak_seg,F1-score_weak_seg,Iou_weak_seg,TN_weak_class_clas,FP_weak_class_clas,FN_weak_class_clas,TP_weak_class_clas,Recall_weak_class_clas,Precision_weak_class_clas,F1-score_weak_class_clas,Iou_weak_class_clas,FPR_weak_class_clas
MAG1C_SASdata_selected_50_evenly_spaced,2700,0.025045354756364477,1390.7926,0.06555857626834583,0.3180359663902646,1600.6254,0.4563113485055013,0.01985974477141995,1477.2057,0.053640570792959176,86879124,1078470,173898,40568,0.18915818824429048,0.03625256693695835,0.06084421194087156,0.031376649733629504,2,24,1,25,0.9615384615384616,0.5102040816326531,0.6666666666666667,0.5,0.9230769230769231,17111268,3461,135664,38247,0.2199228340933006,0.9170183178287139,0.3547646543208159,0.21563155402205533,2,24,1,10,0.9090909090909091,0.29411764705882354,0.4444444444444445,0.2857142857142857,0.9230769230769231,28683478,10879,38234,2321,0.05723092097152016,0.17583333333333334,0.08635475769695844,0.04512579227748182,2,24,0,15,1.0,0.38461538461538464,0.5555555555555556,0.38461538461538464,0.9230769230769231
MAG1C_SAS_TILINGdata_selected_50_evenly_spaced,2700,0.03341852905104688,1608.5431,0.0826793318493003,0.2224379319311397,1294.4633,0.36472728244170244,0.015282351800588562,1207.4557,0.04125466207068266,87902693,54901,180241,34225,0.15958240467020413,0.3840069115634046,0.22546707423120502,0.12705713765977272,2,24,0,26,1.0,0.52,0.6842105263157895,0.52,0.9230769230769231,17110642,4087,141907,32004,0.18402516229565696,0.8867584716411294,0.3047970971705031,0.17979977303115766,2,24,0,11,1.0,0.3142857142857143,0.4782608695652174,0.3142857142857143,0.9230769230769231,28679322,15035,38334,2221,0.05476513376895574,0.12870885489105238,0.07683658819255851,0.03995322899802123,2,24,0,15,1.0,0.38461538461538464,0.5555555555555556,0.38461538461538464,0.9230769230769231
MAG1C_SASdata_selected_50_evenly_spaced,2800,0.025045354756364477,1390.7926,0.06555857626834583,0.3180359663902646,1600.6254,0.4563113485055013,0.01985974477141995,1477.2057,0.053640570792959176,86894686,1062908,176141,38325,0.17869965402441412,0.034801899325574155,0.05825800582048023,0.030002959195975492,2,24,1,25,0.9615384615384616,0.5102040816326531,0.6666666666666667,0.5,0.9230769230769231,17111629,3100,137712,36199,0.20814669572367475,0.9211175856892033,0.33956193424323433,0.2045014151662891,2,24,1,10,0.9090909090909091,0.29411764705882354,0.4444444444444445,0.2857142857142857,0.9230769230769231,28684145,10212,38429,2126,0.052422635926519544,0.17231317879721186,0.08038870928100127,0.041877597652018046,2,24,0,15,1.0,0.38461538461538464,0.5555555555555556,0.38461538461538464,0.9230769230769231
MAG1C_SAS_TILINGdata_selected_50_evenly_spaced,2800,0.03341852905104688,1608.5431,0.0826793318493003,0.2224379319311397,1294.4633,0.36472728244170244,0.015282351800588562,1207.4557,0.04125466207068266,87907469,50125,181766,32700,0.152471720459187,0.3948083308179897,0.2199864778953954,0.12358697007834733,2,24,0,26,1.0,0.52,0.6842105263157895,0.52,0.9230769230769231,17111049,3680,143230,30681,0.17641782290941918,0.8929018363842729,0.29462433740493205,0.17276213321621028,2,24,0,11,1.0,0.3142857142857143,0.4782608695652174,0.3142857142857143,0.9230769230769231,28680763,13594,38536,2019,0.04978424361977561,0.12931531416127587,0.0718914684517875,0.03728600712847883,2,24,0,15,1.0,0.38461538461538464,0.5555555555555556,0.38461538461538464,0.9230769230769231
MAG1C_SAS_TILINGdata_selected_50_evenly_spaced,2900,0.03341852905104688,1608.5431,0.0826793318493003,0.2224379319311397,1294.4633,0.36472728244170244,0.015282351800588562,1207.4557,0.04125466207068266,87911671,45923,183362,31104,0.14502998144227988,0.40380645747595,0.2134116428181809,0.11945205058585424,2,24,0,26,1.0,0.52,0.6842105263157895,0.52,0.9230769230769231,17111454,3275,144656,29255,0.16821822656416213,0.8993237011988934,0.283422382181834,0.16510898152224215,2,24,0,11,1.0,0.3142857142857143,0.4782608695652174,0.3142857142857143,0.9230769230769231,28681985,12372,38706,1849,0.045592405375416103,0.13001898600660994,0.06751131882576311,0.03493491034821547,2,24,0,15,1.0,0.38461538461538464,0.5555555555555556,0.38461538461538464,0.9230769230769231
MAG1C_SASdata_selected_50_evenly_spaced,2900,0.025045354756364477,1390.7926,0.06555857626834583,0.3180359663902646,1600.6254,0.4563113485055013,0.01985974477141995,1477.2057,0.053640570792959176,86909658,1047936,178297,36169,0.16864677851034662,0.033363004506021095,0.055705848967826946,0.02865093686480218,2,24,1,25,0.9615384615384616,0.5102040816326531,0.6666666666666667,0.5,0.9230769230769231,17111932,2797,139689,34222,0.1967788121510428,0.9244442043275075,0.32448679656758167,0.1936641238653598,2,24,1,10,0.9090909090909091,0.29411764705882354,0.4444444444444445,0.2857142857142857,0.9230769230769231,28684786,9571,38608,1947,0.04800887683392923,0.16903976384789027,0.07477963627983791,0.038842117862985276,2,24,0,15,1.0,0.38461538461538464,0.5555555555555556,0.38461538461538464,0.9230769230769231
MAG1C_SASdata_selected_50_starcop_filtering,0,0.022105283816754404,1400.8965,0.059826647151768185,0.09470337703500285,1238.4604,0.22281735176040376,0.028158739856534082,1932.3812,0.06992367959996039,84388732,3568862,35233,179233,0.8357175496349072,0.04781975910429165,0.09046321305842357,0.047374428016814824,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,16310497,804232,25125,148786,0.8555295524722415,0.15612087074955563,0.26405567697698795,0.15211068320276278,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28202152,492205,10108,30447,0.7507582295647885,0.05825482347718941,0.10812010504130809,0.05714956077783617,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1C_SAS_TILINGdata_selected_50_starcop_filtering,0,0.03871430179740872,1952.7544,0.0910829783088666,0.28956625149732107,1454.5073,0.4007867547824627,0.0172286321021858,1393.6736,0.04528809504733255,85978040,1979554,30575,183891,0.8574366099987877,0.08499915643799588,0.15466600726435936,0.08381464161675828,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,16763976,350753,20806,153105,0.8803640942781078,0.3038653747682879,0.45179109696666564,0.2918153332418462,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28184687,509670,9769,30786,0.759117248181482,0.056963009014609885,0.10597389722397682,0.05595165614066973,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1C_SASdata_selected_50_starcop_filtering,100,0.022105283816754404,1400.8965,0.059826647151768185,0.09470337703500285,1238.4604,0.22281735176040376,0.028158739856534082,1932.3812,0.06992367959996039,84494205,3463389,36961,177505,0.8276603284436694,0.04875313590563197,0.09208219206507304,0.04826318601467432,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,16330356,784373,26424,147487,0.8480602147075228,0.15827162878543988,0.2667586688383038,0.15390740114621554,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28232537,461820,10537,30018,0.7401800024657872,0.06103229112024691,0.11276632111992457,0.059752177158497136,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1C_SAS_TILINGdata_selected_50_starcop_filtering,100,0.03871430179740872,1952.7544,0.0910829783088666,0.28956625149732107,1454.5073,0.4007867547824627,0.0172286321021858,1393.6736,0.04528809504733255,86112154,1845440,32538,181928,0.8482836440274916,0.08973605186626207,0.16230282884459776,0.08831859317852368,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,16794221,320508,22341,151570,0.8715377405684517,0.32106982320718186,0.46926495652402755,0.3065618432948572,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28221020,473337,10197,30358,0.7485636789545063,0.06027060026404868,0.11155902618282039,0.05907466938578534,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
