METHOD,CHANNEL_N,SELECT_STRATEGY,AUPRC_all,AUPRC_strong,AUPRC_weak,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg
Mag1c (tile-wise),72.0,SELECT-EVENLY-SPACED,0.125,0.383,0.11,0.437,0.228,0.3,0.404,0.722,0.518
Mag1c-SAS,72.0,SELECT-EVENLY-SPACED,0.112,0.359,0.1,0.528,0.194,0.284,0.495,0.653,0.563
MF,72.0,SELECT-EVENLY-SPACED,0.1058304923248268,0.264799213526293,0.1305630193688461,0.4408667657516188,0.1481674329941488,0.2217939030125607,0.3965108256398462,0.5271235892239421,0.4525821173699941
ACE,72.0,SELECT-HIGHEST-TRANSMITTANCE,0.1140286707988202,0.2083760979951146,0.1948427370517727,0.3084570582272897,0.1312410618519842,0.1841364791379605,0.2602621808982488,0.6361913328407595,0.3694035244796985
CEM,72.0,SELECT-HIGHEST-TRANSMITTANCE,0.08,0.218,0.111,0.4,0.109,0.172,0.353,0.434,0.389
Mag1c (tile-wise),72.0,SELECT-HIGHEST-TRANSMITTANCE,0.128,0.372,0.111,0.43,0.218,0.289,0.398,0.682,0.503
Mag1c-SAS,72.0,SELECT-HIGHEST-TRANSMITTANCE,0.111,0.348,0.099,0.51,0.186,0.273,0.478,0.635,0.545
MF,72.0,SELECT-HIGHEST-TRANSMITTANCE,0.1031788128266654,0.257926834249149,0.124194353879645,0.4373427726630569,0.1406700552889366,0.2128708189010595,0.3946446758878996,0.4960560983869236,0.4395772493394521
ACE,72.0,SELECT-HIGHEST-VARIANCE,0.119444393909974,0.2123702690725392,0.2061463759323247,0.3149115850616305,0.1412482480006595,0.19502247432203,0.2646318625357295,0.6669702891590209,0.378920528586281
CEM,72.0,SELECT-HIGHEST-VARIANCE,0.081,0.219,0.114,0.398,0.112,0.174,0.35,0.443,0.391
Mag1c (tile-wise),72.0,SELECT-HIGHEST-VARIANCE,0.152,0.396,0.124,0.445,0.205,0.28,0.411,0.703,0.518
Mag1c-SAS,72.0,SELECT-HIGHEST-VARIANCE,0.131,0.373,0.116,0.53,0.168,0.255,0.495,0.623,0.551
MF,72.0,SELECT-HIGHEST-VARIANCE,0.1049029433638862,0.2607473966397972,0.1280352683956519,0.4407144620264798,0.1440939608839741,0.2171798146688769,0.396615960837139,0.518227556837695,0.4493387479202105
