Method,Channels,Min,Max,Mean,Median
Tile-wise and Sampled,110,0.16415619850158691,0.16415619850158691,0.16415619850158691,0.16415619850158691
ACE_optimized,110,0.8014724254608154,0.8014724254608154,0.8014724254608154,0.8014724254608154
ACE_optimized_addition,110,0.748746395111084,0.748746395111084,0.748746395111084,0.748746395111084
ACE_original,110,2.2985715866088867,2.2985715866088867,2.2985715866088867,2.2985715866088867
ACE_numpy,110,1.8744118213653564,1.8744118213653564,1.8744118213653564,1.8744118213653564
ACE_numpy_addition,110,2.0325441360473633,2.0325441360473633,2.0325441360473633,2.0325441360473633
MatchedFilterOptimized,110,0.3319377899169922,0.3319377899169922,0.3319377899169922,0.3319377899169922
MatchedFilterOptimized_addition,110,0.3918788433074951,0.3918788433074951,0.3918788433074951,0.3918788433074951
MatchedFilterOriginal,110,0.7331905364990234,0.7331905364990234,0.7331905364990234,0.7331905364990234
MatchedFilterNumpy,110,0.376145601272583,0.376145601272583,0.376145601272583,0.376145601272583
MatchedFilterNumpy_addition,110,0.3964066505432129,0.3964066505432129,0.3964066505432129,0.3964066505432129
CEM_optimized,110,0.26754093170166016,0.26754093170166016,0.26754093170166016,0.26754093170166016
CEM_original,110,0.32190871238708496,0.32190871238708496,0.32190871238708496,0.32190871238708496
CEM_numpy,110,0.46949052810668945,0.46949052810668945,0.46949052810668945,0.46949052810668945
mag1c_SAS,110,0.4765305519104004,0.4765305519104004,0.4765305519104004,0.4765305519104004
mag1c_tile,110,25.484817266464233,25.484817266464233,25.484817266464233,25.484817266464233
Morphological_Baseline,110,0.11608314514160156,0.11608314514160156,0.11608314514160156,0.11608314514160156
Original,125,18.24532699584961,18.24532699584961,18.24532699584961,18.24532699584961
Tile-wise,125,16.51943349838257,16.51943349838257,16.51943349838257,16.51943349838257
Tile-wise and Sampled,125,0.19701766967773438,0.19701766967773438,0.19701766967773438,0.19701766967773438
ACE_optimized,125,1.0927531719207764,1.0927531719207764,1.0927531719207764,1.0927531719207764
ACE_optimized_addition,125,0.8174731731414795,0.8174731731414795,0.8174731731414795,0.8174731731414795
ACE_original,125,2.3891725540161133,2.3891725540161133,2.3891725540161133,2.3891725540161133
ACE_numpy,125,2.116365671157837,2.116365671157837,2.116365671157837,2.116365671157837
ACE_numpy_addition,125,2.151201009750366,2.151201009750366,2.151201009750366,2.151201009750366
MatchedFilterOptimized,125,0.38863158226013184,0.38863158226013184,0.38863158226013184,0.38863158226013184
MatchedFilterOptimized_addition,125,0.45796632766723633,0.45796632766723633,0.45796632766723633,0.45796632766723633
MatchedFilterOriginal,125,0.8342087268829346,0.8342087268829346,0.8342087268829346,0.8342087268829346
MatchedFilterNumpy,125,0.43566036224365234,0.43566036224365234,0.43566036224365234,0.43566036224365234
MatchedFilterNumpy_addition,125,0.4556741714477539,0.4556741714477539,0.4556741714477539,0.4556741714477539
CEM_optimized,125,0.3079233169555664,0.3079233169555664,0.3079233169555664,0.3079233169555664
CEM_original,125,0.36101555824279785,0.36101555824279785,0.36101555824279785,0.36101555824279785
CEM_numpy,125,0.3075985908508301,0.3075985908508301,0.3075985908508301,0.3075985908508301
mag1c_SAS,125,0.53598952293396,0.53598952293396,0.53598952293396,0.53598952293396
mag1c_tile,125,27.996514081954956,27.996514081954956,27.996514081954956,27.996514081954956
Morphological_Baseline,125,0.12860703468322754,0.12860703468322754,0.12860703468322754,0.12860703468322754
