METHOD,THRESHOLD,WHOLE_IMAGE,MAG1C,SAMPLED,SPED_UP,PRECISION,WAVELENGTH_RANGE,CHANNEL_N,SELECT_STRATEGY,AUPRC_all,BEST_THRESHOLD_all,BEST_F1-SCORE_all,AUPRC_strong,BEST_THRESHOLD_strong,BEST_F1-SCORE_strong,AUPRC_weak,BEST_THRESHOLD_weak,BEST_F1-SCORE_weak,TN_all_seg,FP_all_seg,FN_all_seg,TP_all_seg,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Iou_all_seg,TN_all_class_clas,FP_all_class_clas,FN_all_class_clas,TP_all_class_clas,Recall_all_class_clas,Precision_all_class_clas,F1-score_all_class_clas,Iou_all_class_clas,FPR_all_class_clas,TN_strong_seg,FP_strong_seg,FN_strong_seg,TP_strong_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg,Iou_strong_seg,TN_strong_class_clas,FP_strong_class_clas,FN_strong_class_clas,TP_strong_class_clas,Recall_strong_class_clas,Precision_strong_class_clas,F1-score_strong_class_clas,Iou_strong_class_clas,FPR_strong_class_clas,TN_weak_seg,FP_weak_seg,FN_weak_seg,TP_weak_seg,Recall_weak_seg,Precision_weak_seg,F1-score_weak_seg,Iou_weak_seg,TN_weak_class_clas,FP_weak_class_clas,FN_weak_class_clas,TP_weak_class_clas,Recall_weak_class_clas,Precision_weak_class_clas,F1-score_weak_class_clas,Iou_weak_class_clas,FPR_weak_class_clas
MF,0.004,True,-,-,True,float64,200-2800,72,SELECT-HIGHEST-TRANSMITTANCE,0.10317881282666547,0.013580185,0.18647037300872688,0.257926834249149,0.008849564,0.29720236999590327,0.12419435387964503,0.01451425,0.21950257760902533,78927753,508707,107135,83274,0.4373427726630569,0.14067005528893664,0.21287081890105958,0.11911328019956631,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,6151231,61014,92126,60059,0.3946446758878996,0.4960560983869236,0.4395772493394521,0.28170394795472775,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,29272797,170185,15009,23215,0.6073409376308079,0.12003619441571872,0.20045418436776846,0.11139154259173069,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
ACE,0.03,True,-,-,True,float64,200-2800,72,SELECT-HIGHEST-TRANSMITTANCE,0.11402867079882023,0.1599752,0.1746761934852274,0.20837609799511464,0.08727145,0.24574352692237839,0.19484273705177274,0.17864214,0.2655190597758535,79047673,388787,131676,58733,0.3084570582272897,0.13124106185198428,0.1841364791379605,0.1014043605273517,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,6189595,22650,112577,39608,0.2602621808982488,0.6361913328407595,0.36940352447969854,0.22654502816941688,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,29305903,137079,19099,19125,0.5003401004604437,0.12243604517169855,0.19673092352953278,0.10909682093289903,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
MF,0.004,True,-,-,True,float64,200-2800,25,SELECT-HIGHEST-TRANSMITTANCE,0.03683146292103061,0.020508906,0.0906541293627848,0.15238419487423605,0.01206592,0.20032574341729395,0.03484418386615375,0.024335228,0.09272245356730058,77620445,1816015,111116,79293,0.41643514749828003,0.04183647196128545,0.0760342846129173,0.03951956316312006,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,6040879,171366,92624,59561,0.39137234287216216,0.2579213344476826,0.3109325732422895,0.18408535285009164,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,28772866,670116,18492,19732,0.5162201758057765,0.028603402488664168,0.05420343042995747,0.02785667899596239,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
ACE,0.03,True,-,-,True,float64,200-2800,25,SELECT-HIGHEST-TRANSMITTANCE,0.048437004960343644,0.3862772,0.0911181607350693,0.1313729525369518,0.22695145,0.1685734135689434,0.04794279411346553,0.40959528,0.09165662050152108,72634751,6801709,114307,76102,0.3996764858803943,0.011064857699637283,0.021533568564645698,0.010883969635523886,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,5712287,499958,94406,57779,0.37966291027368004,0.10359542221513007,0.16277562887190425,0.0885986662434466,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,26930425,2512557,19901,18323,0.47935851820845543,0.0072397743077506635,0.014264116983975735,0.007183290137412816,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
MF,0.004,True,-,-,True,float64,200-2800,72,SELECT-HIGHEST-VARIANCE,0.10490294336388625,0.013739611,0.19022429110775088,0.26074739663979724,0.008715891,0.3024603428626025,0.1280352683956519,0.01468072,0.22509294482014866,78938006,498454,106493,83916,0.44071446202647985,0.1440939608839741,0.2171798146688769,0.12181812639087888,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,6156132,56113,91826,60359,0.396615960837139,0.518227556837695,0.44933874792021056,0.2897723453897781,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,29268072,174910,14667,23557,0.6162881958978652,0.11869479560833791,0.19905277344723712,0.11052671089549297,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
ACE,0.03,True,-,-,True,float64,200-2800,72,SELECT-HIGHEST-VARIANCE,0.11944439390997408,0.16093996,0.18136475402794588,0.21237026907253923,0.08543308,0.2511350663163985,0.20614637593232474,0.18151066,0.2769401076064522,79071907,364553,130447,59962,0.3149115850616305,0.14124824800065958,0.19502247432203004,0.10804703745481672,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,6192136,20109,111912,40273,0.26463186253572957,0.6669702891590209,0.37892052858628106,0.23374580658641625,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,29313308,129674,18535,19689,0.5150952281289243,0.13181979472827943,0.20991859777063446,0.11726762677339814,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
MF,0.004,True,-,-,True,float64,200-2800,50,SELECT-HIGHEST-TRANSMITTANCE,0.08166071236492184,0.015835585,0.15185525314670806,0.2255484199893035,0.009500428,0.26475838456075174,0.08482847942005206,0.017164921,0.1635000819096318,78731804,704656,107149,83260,0.43726924672678286,0.10567116291584382,0.17020928628012164,0.09302117723293839,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,6129366,82879,90523,61662,0.40517790846666885,0.42660559979521384,0.4156157532538436,0.26232004900792977,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,29198737,244245,16626,21598,0.5650376726663876,0.0812434406773923,0.14206079581144945,0.07646148780928172,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
ACE,0.03,True,-,-,True,float64,200-2800,50,SELECT-HIGHEST-TRANSMITTANCE,0.09341280860436195,0.22336087,0.14756350506548513,0.1874172039124714,0.12320646,0.22436161400630844,0.13458520643473992,0.25070968,0.19795382380311302,78234240,1202220,125012,65397,0.34345540389372353,0.05159050407181349,0.08970621923065844,0.046959384013976445,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,6134438,77807,105791,46394,0.30485264645004434,0.3735396655421454,0.3357188859059431,0.20172005982816793,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,29008306,434676,19221,19003,0.49714838844704895,0.04188644393943736,0.07726320026509291,0.040183971241277226,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
MF,0.004,True,-,-,True,float64,200-2800,10,SELECT-HIGHEST-VARIANCE,0.020581711735988977,0.032440282,0.06884341069976567,0.1018948310272583,0.020005075,0.15787512046496643,0.011571684844440473,0.036013052,0.049795154802395436,73088894,6347566,109498,80911,0.4249326449905204,0.012586340434911721,0.024448525023697338,0.01237554441551092,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,5672835,539410,88319,63866,0.41966028189374777,0.1058653087475716,0.16907821846528148,0.09234595391811681,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,27065344,2377638,21179,17045,0.44592402678945164,0.007117852342042767,0.014012044027987919,0.0070554526707237416,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
ACE,0.03,True,-,-,True,float64,200-2800,10,SELECT-HIGHEST-VARIANCE,0.008557348935611265,0.7126062,0.037380865413180635,0.06480662306195818,0.48645785,0.10631235794664155,0.003700075813849535,0.7292665,0.022699055619205672,50035055,29401405,88018,102391,0.5377424386452321,0.003470434787442267,0.006896362438394967,0.003460112313493184,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,3940517,2271728,70853,81332,0.5344284916384663,0.034564354500097746,0.06492937816461064,0.03355400957047551,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,18375826,11067156,17165,21059,0.5509365843449142,0.0018992236351838415,0.0037853980055972984,0.0018962881054047677,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
