METHOD,THRESHOLD,WHOLE_IMAGE,MAG1C,SAMPLED,SPED_UP,PRECISION,WAVELENGTH_RANGE,CHANNEL_N,SELECT_STRATEGY,AUPRC_all,BEST_THRESHOLD_all,BEST_F1-SCORE_all,AUPRC_strong,BEST_THRESHOLD_strong,BEST_F1-SCORE_strong,AUPRC_weak,BEST_THRESHOLD_weak,BEST_F1-SCORE_weak,TN_all_seg,FP_all_seg,FN_all_seg,TP_all_seg,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Iou_all_seg,TN_all_tile_clas,FP_all_tile_clas,FN_all_tile_clas,TP_all_tile_clas,FPR_all_tile_clas,TN_strong_seg,FP_strong_seg,FN_strong_seg,TP_strong_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg,Iou_strong_seg,TN_weak_seg,FP_weak_seg,FN_weak_seg,TP_weak_seg,Recall_weak_seg,Precision_weak_seg,F1-score_weak_seg,Iou_weak_seg
MF,0.004,True,-,-,True,float64,200-2600,25,SELECT-HIGHEST-TRANSMITTANCE,0.047903396330108226,0.01788870245218277,0.1135283342761868,0.17774441627795673,0.011266111396253109,0.23454878215470282,0.03994827167457567,0.020312221720814705,0.10803260926571946,77663866,1774160,112456,77953,0.40939766502633806,0.04208868465369014,0.07633014479158609,0.03967944113950694,0,175,0,167,1.0,6046580,165825,92627,59558,0.3913526300226698,0.2642524059046157,0.315482244257988,0.18728341876041635,28736448,706849,19829,18395,0.4812421515278359,0.025363877536387754,0.04818800526020736,0.024688855991292127
ACE,0.03,True,-,-,True,float64,200-2600,25,SELECT-HIGHEST-TRANSMITTANCE,0.032816667281292324,0.3656151592731476,0.07389985081096227,0.10869473517570585,0.2115008682012558,0.14950727858481044,0.038532411220376914,0.3954223096370697,0.08506815468105612,72766711,6671315,119114,71295,0.3744308304754502,0.010573798573549412,0.020566797812035423,0.01039024594985167,0,175,0,167,1.0,5719096,493309,98478,53707,0.3529060025626704,0.0981817716483613,0.15362392216258275,0.08320294224268544,27003541,2439756,20636,17588,0.46012976140644624,0.007157321075111991,0.014095388304386017,0.007097716688593128
MAG1C_TILE,300.0,True,GENERATED,0.01,True,float64,200-2600,25,SELECT-HIGHEST-TRANSMITTANCE,0.0375630051951413,1629.33544921875,0.11241523335353926,0.1947687809215482,908.68994140625,0.2528950682868226,0.028165329400143768,1809.9569091796875,0.09710093527631478,79130967,307059,144571,45838,0.24073441906632564,0.12989059130567843,0.1687373229818923,0.09214261017794109,0,175,0,167,1.0,6186060,26345,117951,34234,0.22494989650754016,0.5651133230987636,0.32180256058355733,0.19175488713381506,29326492,116805,26620,11604,0.3035789033068229,0.09036749760530804,0.13927613377902337,0.07485051183972032
MAG1C_TILE,400.0,True,GENERATED,0.01,True,float64,200-2600,25,SELECT-HIGHEST-TRANSMITTANCE,0.0375630051951413,1629.33544921875,0.11241523335353926,0.1947687809215482,908.68994140625,0.2528950682868226,0.028165329400143768,1809.9569091796875,0.09710093527631478,79171858,266168,145675,44734,0.23493637380586002,0.1438845681275772,0.17846805675518793,0.09797690203404902,0,175,0,167,1.0,6189563,22842,118604,33581,0.22065906626802903,0.5951650922496146,0.32195313698420003,0.1918618270324007,29340423,102874,27071,11153,0.2917800334868146,0.09781016776728318,0.14650806891251947,0.07904435215240471
MAG1C_TILE,500.0,True,GENERATED,0.01,True,float64,200-2600,25,SELECT-HIGHEST-TRANSMITTANCE,0.0375630051951413,1629.33544921875,0.11241523335353926,0.1947687809215482,908.68994140625,0.2528950682868226,0.028165329400143768,1809.9569091796875,0.09710093527631478,79221487,216539,147776,42633,0.22390223151216593,0.16449693639745033,0.1896565913595103,0.10476277067340299,0,175,0,167,1.0,6193460,18945,119928,32257,0.21195912869205244,0.6299949220733565,0.3171982476756135,0.1884941272716648,29357917,85380,27848,10376,0.2714524905818334,0.10835874514390743,0.154888789371548,0.08394550338176758
MAG1C_TILE_SAMPLED-0.01,300.0,True,GENERATED,0.01,True,float64,200-2600,25,SELECT-HIGHEST-TRANSMITTANCE,0.03648965058823262,1619.59765625,0.11073168181802036,0.18066034233339043,942.4346313476562,0.2520267663477947,0.027557447039795853,1709.0167236328125,0.09801936659962139,79022942,415084,135316,55093,0.28934031479604433,0.11717502132175756,0.1668003863236581,0.09098866543461279,0,175,0,167,1.0,6174237,38168,110910,41275,0.27121595426618916,0.5195549009982,0.35639041912031366,0.21683398738133888,29281353,161944,24406,13818,0.36150062787777315,0.07861767617573764,0.12914863589206768,0.06903201310898845
MAG1C_TILE_SAMPLED-0.01,400.0,True,GENERATED,0.01,True,float64,200-2600,25,SELECT-HIGHEST-TRANSMITTANCE,0.03648965058823262,1619.59765625,0.11073168181802036,0.18066034233339043,942.4346313476562,0.2520267663477947,0.027557447039795853,1709.0167236328125,0.09801936659962139,79121152,316874,138876,51533,0.27064371957207906,0.13988062116083572,0.18443637977438015,0.10158629404099881,0,175,0,167,1.0,6181876,30529,113353,38832,0.2551631238295496,0.5598535199896195,0.3505547380679408,0.21252887025624748,29319503,123794,25523,12701,0.3322781498534952,0.09305102751016521,0.1453877368803622,0.07839252428742485
MAG1C_TILE_SAMPLED-0.01,500.0,True,GENERATED,0.01,True,float64,200-2600,25,SELECT-HIGHEST-TRANSMITTANCE,0.03648965058823262,1619.59765625,0.11073168181802036,0.18066034233339043,942.4346313476562,0.2520267663477947,0.027557447039795853,1709.0167236328125,0.09801936659962139,79203192,234834,143152,47257,0.24818679789295675,0.16752395503578632,0.20002962962962964,0.1111294013070174,0,175,0,167,1.0,6188740,23665,116342,35843,0.2355225547852942,0.6023223768232843,0.33863188674164946,0.2038271253909582,29351055,92242,26810,11414,0.29860820426956886,0.11011422397159837,0.16089653228080067,0.08748639492281514
CEM,0.004,True,-,-,True,float64,200-2600,25,SELECT-HIGHEST-VARIANCE,0.055898310262548906,0.015457691624760628,0.13103639233460065,0.1797594307320804,0.009915894828736782,0.24672898397487414,0.06144583558510947,0.016999274492263794,0.14473452767829884,78229380,1208646,107376,83033,0.4360770761886255,0.06428299910426662,0.11204867727152504,0.059349346523188864,0,175,0,167,1.0,6074241,138164,89892,62293,0.40932417780990243,0.31075492499638324,0.35329314148626656,0.21454525415964926,28987757,455540,17484,20740,0.5425910422771034,0.04354581338708323,0.08062133627726899,0.042003872295266566
MF,0.004,True,-,-,True,float64,200-2600,25,SELECT-HIGHEST-VARIANCE,0.05636937428867739,0.015467936173081398,0.13127501852187928,0.17834158760238178,0.009534936398267746,0.24711407977071811,0.06104734250453808,0.017082901671528816,0.14397673306286007,78234419,1203607,107681,82728,0.4344752611483701,0.06431295113636805,0.112041084981554,0.059345086426554644,0,175,0,167,1.0,6078139,134266,90118,62067,0.40783914314814207,0.3161312667763443,0.3561767254489008,0.21667580144597157,28988196,455101,17563,20661,0.5405242779405609,0.043427175772760326,0.08039518586109348,0.041881112856636094
ACE,0.03,True,-,-,True,float64,200-2600,25,SELECT-HIGHEST-VARIANCE,0.03964689884698252,0.3657512068748474,0.08678507539425012,0.12539321569203776,0.21333345770835876,0.17063204295473472,0.06893983909371748,0.40660908818244934,0.1279317696788393,72512082,6925944,109070,81339,0.427180437899469,0.011607780076814365,0.022601411674742403,0.011429871452413897,0,175,0,167,1.0,5732814,479591,92717,59468,0.39076124453789796,0.11031816554403136,0.17206080631441284,0.09412829863749177,26906145,2537152,16353,21871,0.5721797823357053,0.008546621112823135,0.01684167890077455,0.008492352184690702
MAG1C_TILE,300.0,True,GENERATED,0.01,True,float64,200-2600,25,SELECT-HIGHEST-VARIANCE,0.09401397771831393,1452.6021728515625,0.1732049096778026,0.28799148713924666,833.9125366210938,0.3222295086068617,0.06133631014238462,1434.599365234375,0.14078362848667011,79132592,305434,129688,60721,0.31889774117820063,0.16583414127896656,0.2181995242236293,0.12246013355033751,0,175,0,167,1.0,6185285,27120,106634,45551,0.2993133357426816,0.6268112452009742,0.4051570783078948,0.2540419954825576,29340276,103021,23054,15170,0.39687107576391795,0.12835156653213867,0.19397116644823065,0.10740203193033382
MAG1C_TILE,400.0,True,GENERATED,0.01,True,float64,200-2600,25,SELECT-HIGHEST-VARIANCE,0.09401397771831393,1452.6021728515625,0.1732049096778026,0.28799148713924666,833.9125366210938,0.3222295086068617,0.06133631014238462,1434.599365234375,0.14078362848667011,79214307,223719,132007,58402,0.3067186950196682,0.20701046713998603,0.24718853829386492,0.1410240312174014,0,175,0,167,1.0,6192195,20210,108039,44146,0.29008115123041034,0.6859655665361427,0.40773802651691826,0.25607471214362365,29367291,76006,23968,14256,0.3729593972373378,0.1579402184751058,0.22190744516912347,0.12480084040969973
