METHOD,THRESHOLD,WHOLE_IMAGE,MAG1C,SAMPLED,SPED_UP,PRECISION,WAVELENGTH_RANGE,CHANNEL_N,SELECT_STRATEGY,AUPRC_all,BEST_THRESHOLD_all,BEST_F1-SCORE_all,AUPRC_strong,BEST_THRESHOLD_strong,BEST_F1-SCORE_strong,AUPRC_weak,BEST_THRESHOLD_weak,BEST_F1-SCORE_weak,TN_all_seg,FP_all_seg,FN_all_seg,TP_all_seg,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Iou_all_seg,TN_all_tile_clas,FP_all_tile_clas,FN_all_tile_clas,TP_all_tile_clas,FPR_all_tile_clas,TN_strong_seg,FP_strong_seg,FN_strong_seg,TP_strong_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg,Iou_strong_seg,TN_weak_seg,FP_weak_seg,FN_weak_seg,TP_weak_seg,Recall_weak_seg,Precision_weak_seg,F1-score_weak_seg,Iou_weak_seg
MF,0.004,True,-,-,True,float64,200-2600,72,SELECT-HIGHEST-TRANSMITTANCE,0.08046991366736107,0.012940886430442333,0.16308314511727143,0.21690682322684077,0.008401568979024887,0.27146344414259344,0.11249236887123533,0.014739315025508404,0.209851999067204,78799190,638836,113848,76561,0.402087086219664,0.10701889999538718,0.16904502730165177,0.09232615210221345,0,175,0,167,1.0,6140204,72201,98077,54108,0.35554095344482045,0.4283780253188609,0.3885756964243395,0.24113803891508384,29204758,238539,15771,22453,0.5874058183340309,0.08602945684158901,0.15007887278755147,0.08112717379129436
ACE,0.03,True,-,-,True,float64,200-2600,72,SELECT-HIGHEST-TRANSMITTANCE,0.06479738007002936,0.1524377316236496,0.11734799287437699,0.1396579433687814,0.0819563940167427,0.18044591463010357,0.14539204010443071,0.17535075545310974,0.21543131225793036,79051335,386691,142842,47567,0.2498148721961672,0.10953626645910956,0.15229554306534523,0.0824241899150927,0,175,0,167,1.0,6186007,26398,121436,30749,0.202050136347209,0.5380684900344725,0.29378212600080256,0.17218324252588432,29306819,136478,21406,16818,0.43998534951862706,0.10970932053021605,0.1756265664160401,0.0962667857265515
MAG1C_TILE,300.0,True,GENERATED,0.01,True,float64,200-2600,72,SELECT-HIGHEST-TRANSMITTANCE,0.12826079332871848,1117.9755859375,0.23817969335768657,0.372375670020851,705.5621948242188,0.4059693252598994,0.1111966091679988,1230.91748046875,0.22908979867265122,79144106,293920,108464,81945,0.43036306056961593,0.21801710720604472,0.28941819684463704,0.16919284205571006,0,175,0,167,1.0,6184119,28286,91556,60629,0.39839011729145446,0.6818759489399989,0.5029365408544172,0.3359487119814264,29346943,96354,16908,21316,0.5576601088321473,0.18115067561825443,0.27346786919316973,0.1583914161304225
MAG1C_TILE_SAMPLED-0.01,300.0,True,GENERATED,0.01,True,float64,200-2600,72,SELECT-HIGHEST-TRANSMITTANCE,0.11085845952022184,1173.555908203125,0.226578267678413,0.3483714187840693,719.1997680664062,0.39700296359336656,0.09901503046263989,1214.255859375,0.22207085985035332,79013377,424649,93227,97182,0.5103855384987054,0.18623270752408347,0.27289116028305066,0.15800461094726026,0,175,0,167,1.0,6170522,41883,79410,72775,0.4782008739363275,0.6347136702192607,0.5454518199840356,0.3749974235834862,29292470,150827,13817,24407,0.6385255336961072,0.13928233105447574,0.22868198896269995,0.1291027288932616
CEM,0.004,True,-,-,True,float64,200-2600,50,SELECT-HIGHEST-TRANSMITTANCE,0.08126378013895894,0.014020141214132309,0.15986996650789878,0.22102906137172978,0.009016538970172405,0.27360758137397445,0.09107756220877143,0.01564032956957817,0.17954595868781995,78670332,767694,111356,79053,0.41517470287643965,0.09336082678769456,0.1524418698826406,0.0825099180359523,0,175,0,167,1.0,6123921,88484,94076,58109,0.3818313237178434,0.3963968265878998,0.3889777694475497,0.2414477975975302,29157634,285663,17280,20944,0.5479280033486814,0.06830894271820279,0.12147399740742568,0.06466452806071253
MF,0.004,True,-,-,True,float64,200-2600,50,SELECT-HIGHEST-TRANSMITTANCE,0.08133512844460687,0.014162029139697552,0.15955110997866156,0.21811349434219532,0.00875703152269125,0.2717386246051734,0.09174800747492451,0.015460026450455189,0.17915732321294361,78651507,786519,111501,78908,0.41441318425074447,0.0911781120764663,0.14947018286930924,0.08077156146614695,0,175,0,167,1.0,6121592,90813,94189,57996,0.38108880638696324,0.38973449186541137,0.3853631633853166,0.23866863101753924,29146760,296537,17312,20912,0.5470908329845123,0.06587514844904221,0.11759115817056681,0.06246844763876318
ACE,0.03,True,-,-,True,float64,200-2600,50,SELECT-HIGHEST-TRANSMITTANCE,0.06843668611876766,0.21285459399223328,0.11932018378239038,0.15096773615855727,0.11705413460731506,0.1904864363392699,0.11559300041263362,0.23754733800888062,0.17887787519101114,78245961,1192065,132130,58279,0.306072717150975,0.04661037282539845,0.08090075120440492,0.04215558484282526,0,175,0,167,1.0,6128386,84019,111760,40425,0.2656306469100108,0.3248449101603934,0.29226870646244607,0.17114443447189717,29014151,429146,20370,17854,0.4670887400586019,0.03994183445190157,0.07359075396105716,0.0382009970687036
MAG1C_TILE,300.0,True,GENERATED,0.01,True,float64,200-2600,50,SELECT-HIGHEST-TRANSMITTANCE,0.10651092426060098,1244.270751953125,0.1958989672834375,0.3133628248094725,745.5147705078125,0.34722508616642855,0.09239842151611825,1344.74951171875,0.18471083177449127,79163730,274296,123703,66706,0.35033007893534446,0.19561762101102045,0.25105238694720283,0.14354482951549907,0,175,0,167,1.0,6186815,25590,102230,49955,0.3282517987975162,0.66126149976835,0.438721292758969,0.2810012656447757,29353875,89422,21473,16751,0.438232524068648,0.1577708080208716,0.2320131304666994,0.13123012080284538
MAG1C_TILE_SAMPLED-0.01,300.0,True,GENERATED,0.01,True,float64,200-2600,50,SELECT-HIGHEST-TRANSMITTANCE,0.09502849782469697,1254.8646240234375,0.1903166827437467,0.30255188543849065,768.3712158203125,0.34656389864633835,0.08218564868280223,1340.8900146484375,0.1810797958657599,79082143,355883,111775,78634,0.41297417664081004,0.18096875381170358,0.2516585963778111,0.14394133540304452,0,175,0,167,1.0,6176635,35770,92487,59698,0.3922725629989815,0.6253194787782294,0.48211004914133887,0.3176185789151659,29320922,122375,19288,18936,0.4953955629970699,0.1340023069683181,0.21094494109783607,0.11790857975454393
CEM,0.004,True,-,-,True,float64,200-2600,10,SELECT-HIGHEST-TRANSMITTANCE,0.01300288648141751,0.04199591651558876,0.05465411165703776,0.07904768710440636,0.027119111269712448,0.14076402855032658,0.004639013966423586,0.04806016385555267,0.023222625794784815,71861604,7576422,121380,69029,0.3625301325042409,0.009028767563875564,0.017618742550275273,0.008887666024920589,0,175,0,167,1.0,5579969,632436,97347,54838,0.36033774682130304,0.07979059298038337,0.13065081201106904,0.06989106842666715,26644309,2798988,24033,14191,0.3712588949351193,0.005044471041480119,0.009953696478540565,0.005001741145885467
