timestamp,cpu_percent,ram_used_MB,proc_read_MB,proc_write_MB
1774366771.0073938,26.3,1855.25,0.0,0.0
1774366771.1257827,28.2,1855.25,0.0,0.0
1774366771.243773,27.5,1855.25,0.0,0.0
1774366771.36141,30.0,1855.25,0.0,0.0
1774366771.4802244,27.5,1855.25,0.0,0.0
1774366771.5981185,25.6,1855.25,0.0,0.0
1774366771.7197375,30.0,1855.25,0.0,0.0
1774366771.8402658,25.6,1875.0546875,0.0,0.0
1774366771.9639225,26.8,1891.78515625,0.0,0.0
1774366772.084053,25.6,1909.9375,0.0,0.0
1774366772.215411,57.5,1919.44140625,0.0,0.0
1774366772.3498442,100.0,1919.93359375,0.0,0.0
1774366772.4676402,100.0,1919.93359375,0.0,0.0
1774366772.6093833,28.2,1920.42578125,0.0,0.0
1774366772.7403762,100.0,1920.42578125,0.0,0.0
1774366772.870957,95.0,1920.42578125,0.0,0.0
1774366773.0002868,100.0,1920.42578125,0.0,0.0
1774366773.129321,100.0,1920.7578125,0.0,0.0
1774366773.246464,32.5,1920.7578125,0.0,0.0
1774366773.3632905,26.8,1920.7578125,0.0,0.0
1774366773.4802425,25.6,1920.7578125,0.0,0.0
1774366773.597031,29.3,1920.7578125,0.0,0.0
1774366773.7137268,25.0,1920.7578125,0.0,0.0
1774366773.8302274,29.3,1920.7578125,0.0,0.0
1774366773.947068,26.8,1920.7578125,0.0,0.0
1774366774.0637383,28.6,1920.7578125,0.0,0.0
1774366774.1802516,27.5,1920.7578125,0.0,0.0
1774366774.2972386,27.5,1920.7578125,0.0,0.0
1774366774.4143353,25.0,1920.7578125,0.0,0.0
1774366774.5309954,25.0,1920.7578125,0.0,0.0
1774366774.647714,28.6,1920.7578125,0.0,0.0
1774366774.764562,27.5,1920.7578125,0.0,0.0
1774366774.881309,25.0,1920.7578125,0.0,0.0
1774366775.011509,75.0,1920.7578125,0.0,0.0
1774366775.1405897,92.9,1920.7578125,0.0,0.0
1774366775.269556,74.4,1920.7578125,0.0,0.0
1774366775.3983564,100.0,1920.7578125,0.0,0.0
1774366775.5273237,100.0,1920.7578125,0.0,0.0
1774366775.643841,25.0,1920.7578125,0.0,0.0
1774366775.800778,82.9,1920.7578125,0.0,0.0
1774366775.9306264,94.7,1920.7578125,0.0,0.0
1774366776.0611727,100.0,1920.7578125,0.0,0.0
1774366776.1907115,100.0,1920.75,0.0,0.0
1774366776.3080719,41.5,1920.75,0.0,0.0
1774366776.4253094,26.8,1920.75,0.0,0.0
1774366776.5567663,62.5,1920.75,0.0,0.0
1774366776.6880822,100.0,1920.75,0.0,0.0
1774366776.819191,80.0,1918.5078125,0.0,0.0
1774366776.9413345,100.0,1920.67578125,0.0,0.0
1774366777.071638,100.0,1920.67578125,0.0,0.0
1774366777.2007127,100.0,1920.5625,0.0,0.0
1774366777.3174593,32.5,1920.81640625,0.0,0.0
1774366777.4340415,29.3,1920.81640625,0.0,0.0
1774366777.550873,25.6,1920.81640625,0.0,0.0
1774366777.6676917,27.5,1920.81640625,0.0,0.0
1774366777.7846029,28.2,1920.81640625,0.0,0.0
1774366777.9014573,27.5,1920.81640625,0.0,0.0
1774366778.0182114,25.0,1920.81640625,0.0,0.0
1774366778.1349146,29.3,1920.81640625,0.0,0.0
1774366778.251745,27.5,1920.81640625,0.0,0.0
