id,action_name,marker,timestamp
EMIT_L1B_RAD_001_20231004T174744_2327712_017,normalize,START,1774368568.8712902
EMIT_L1B_RAD_001_20231004T174744_2327712_017,normalize,END,1774368568.9468791
EMIT_L1B_RAD_001_20231004T174744_2327712_017,tile_image,START,1774368568.9468942
EMIT_L1B_RAD_001_20231004T174744_2327712_017,tile_image,END,1774368568.9887478
EMIT_L1B_RAD_001_20231004T174744_2327712_017,inference_tiles,START,1774368568.9887557
EMIT_L1B_RAD_001_20231004T174744_2327712_017,inference_tiles,END,1774368572.685072
EMIT_L1B_RAD_001_20231004T174744_2327712_017,post_tiles,START,1774368572.6850815
EMIT_L1B_RAD_001_20231004T174744_2327712_017,post_tiles,END,1774368572.8241086
EMIT_L1B_RAD_001_20231004T174744_2327712_017,stitch_tiles,START,1774368572.8241305
EMIT_L1B_RAD_001_20231004T174744_2327712_017,stitch_tiles,END,1774368572.8386319
EMIT_L1B_RAD_001_20231004T174744_2327712_017,create_out_dir,START,1774368572.8386474
EMIT_L1B_RAD_001_20231004T174744_2327712_017,create_out_dir,END,1774368572.8393183
EMIT_L1B_RAD_001_20231004T174744_2327712_017,save_inference,START,1774368572.8393216
EMIT_L1B_RAD_001_20231004T174744_2327712_017,save_inference,END,1774368572.8810496
EMIT_L1B_RAD_001_20240522T145641_2414310_015,load_scene,START,1774368572.8810732
EMIT_L1B_RAD_001_20240522T145641_2414310_015,load_scene,END,1774368578.398765
EMIT_L1B_RAD_001_20240522T145641_2414310_015,mag1c_prep,START,1774368578.3991656
EMIT_L1B_RAD_001_20240522T145641_2414310_015,mag1c_prep,END,1774368579.7478116
EMIT_L1B_RAD_001_20240522T145641_2414310_015,mag1c_compute,START,1774368579.7478216
EMIT_L1B_RAD_001_20240522T145641_2414310_015,mag1c_compute,END,1774368587.7542999
EMIT_L1B_RAD_001_20240522T145641_2414310_015,mag1c_post,START,1774368587.754315
EMIT_L1B_RAD_001_20240522T145641_2414310_015,mag1c_post,END,1774368587.7760708
EMIT_L1B_RAD_001_20240522T145641_2414310_015,normalize,START,1774368587.776083
EMIT_L1B_RAD_001_20240522T145641_2414310_015,normalize,END,1774368587.853935
