id,action_name,marker,timestamp
EMIT_L1B_RAD_001_20240120T154941_2402010_018,mag1c_compute,END,1774366561.1271412
EMIT_L1B_RAD_001_20240120T154941_2402010_018,mag1c_post,START,1774366561.1271513
EMIT_L1B_RAD_001_20240120T154941_2402010_018,mag1c_post,END,1774366561.1596286
EMIT_L1B_RAD_001_20240120T154941_2402010_018,normalize,START,1774366561.1596434
EMIT_L1B_RAD_001_20240120T154941_2402010_018,normalize,END,1774366561.3146245
EMIT_L1B_RAD_001_20240120T154941_2402010_018,inference_tiles,START,1774366561.3146434
EMIT_L1B_RAD_001_20240120T154941_2402010_018,inference_tiles,END,1774366564.985993
EMIT_L1B_RAD_001_20240120T154941_2402010_018,post_tiles,START,1774366564.986003
EMIT_L1B_RAD_001_20240120T154941_2402010_018,post_tiles,END,1774366565.1267502
EMIT_L1B_RAD_001_20240120T154941_2402010_018,stitch_tiles,START,1774366565.126761
EMIT_L1B_RAD_001_20240120T154941_2402010_018,stitch_tiles,END,1774366565.1411645
EMIT_L1B_RAD_001_20240120T154941_2402010_018,create_out_dir,START,1774366565.1411948
EMIT_L1B_RAD_001_20240120T154941_2402010_018,create_out_dir,END,1774366565.1418653
EMIT_L1B_RAD_001_20240120T154941_2402010_018,save_inference,START,1774366565.1418686
EMIT_L1B_RAD_001_20240120T154941_2402010_018,save_inference,END,1774366565.1902075
EMIT_L1B_RAD_001_20231004T174744_2327712_017,load_scene,START,1774366565.1902287
EMIT_L1B_RAD_001_20231004T174744_2327712_017,load_scene,END,1774366570.425404
EMIT_L1B_RAD_001_20231004T174744_2327712_017,tile_image,START,1774366570.425814
EMIT_L1B_RAD_001_20231004T174744_2327712_017,tile_image,END,1774366571.118627
EMIT_L1B_RAD_001_20231004T174744_2327712_017,mag1c_prep,START,1774366571.1186342
EMIT_L1B_RAD_001_20231004T174744_2327712_017,mag1c_prep,END,1774366573.665313
EMIT_L1B_RAD_001_20231004T174744_2327712_017,mag1c_compute,START,1774366573.6653183
EMIT_L1B_RAD_001_20231004T174744_2327712_017,mag1c_compute,END,1774366586.590822
EMIT_L1B_RAD_001_20231004T174744_2327712_017,mag1c_post,START,1774366586.5908318
EMIT_L1B_RAD_001_20231004T174744_2327712_017,mag1c_post,END,1774366586.6209905
EMIT_L1B_RAD_001_20231004T174744_2327712_017,normalize,START,1774366586.6210027
EMIT_L1B_RAD_001_20231004T174744_2327712_017,normalize,END,1774366586.7689676
EMIT_L1B_RAD_001_20231004T174744_2327712_017,inference_tiles,START,1774366586.7689855
EMIT_L1B_RAD_001_20231004T174744_2327712_017,inference_tiles,END,1774366590.4841235
EMIT_L1B_RAD_001_20231004T174744_2327712_017,post_tiles,START,1774366590.4841335
EMIT_L1B_RAD_001_20231004T174744_2327712_017,post_tiles,END,1774366590.6264796
EMIT_L1B_RAD_001_20231004T174744_2327712_017,stitch_tiles,START,1774366590.6264994
EMIT_L1B_RAD_001_20231004T174744_2327712_017,stitch_tiles,END,1774366590.6408985
EMIT_L1B_RAD_001_20231004T174744_2327712_017,create_out_dir,START,1774366590.640913
EMIT_L1B_RAD_001_20231004T174744_2327712_017,create_out_dir,END,1774366590.6415846
EMIT_L1B_RAD_001_20231004T174744_2327712_017,save_inference,START,1774366590.6415877
EMIT_L1B_RAD_001_20231004T174744_2327712_017,save_inference,END,1774366590.6909444
EMIT_L1B_RAD_001_20240522T145641_2414310_015,load_scene,START,1774366590.690967
EMIT_L1B_RAD_001_20240522T145641_2414310_015,load_scene,END,1774366596.2649014
EMIT_L1B_RAD_001_20240522T145641_2414310_015,tile_image,START,1774366596.2651627
EMIT_L1B_RAD_001_20240522T145641_2414310_015,tile_image,END,1774366596.956012
EMIT_L1B_RAD_001_20240522T145641_2414310_015,mag1c_prep,START,1774366596.95602
EMIT_L1B_RAD_001_20240522T145641_2414310_015,mag1c_prep,END,1774366599.3433967
EMIT_L1B_RAD_001_20240522T145641_2414310_015,mag1c_compute,START,1774366599.3434021
EMIT_L1B_RAD_001_20240522T145641_2414310_015,mag1c_compute,END,1774366611.7672238
EMIT_L1B_RAD_001_20240522T145641_2414310_015,mag1c_post,START,1774366611.7672322
EMIT_L1B_RAD_001_20240522T145641_2414310_015,mag1c_post,END,1774366611.797406
EMIT_L1B_RAD_001_20240522T145641_2414310_015,normalize,START,1774366611.7974186
EMIT_L1B_RAD_001_20240522T145641_2414310_015,normalize,END,1774366611.946104
EMIT_L1B_RAD_001_20240522T145641_2414310_015,inference_tiles,START,1774366611.9461231
EMIT_L1B_RAD_001_20240522T145641_2414310_015,inference_tiles,END,1774366615.6808858
EMIT_L1B_RAD_001_20240522T145641_2414310_015,post_tiles,START,1774366615.6809468
EMIT_L1B_RAD_001_20240522T145641_2414310_015,post_tiles,END,1774366615.8206027
EMIT_L1B_RAD_001_20240522T145641_2414310_015,stitch_tiles,START,1774366615.8206127
EMIT_L1B_RAD_001_20240522T145641_2414310_015,stitch_tiles,END,1774366615.834737
EMIT_L1B_RAD_001_20240522T145641_2414310_015,create_out_dir,START,1774366615.8347485
EMIT_L1B_RAD_001_20240522T145641_2414310_015,create_out_dir,END,1774366615.8353674
EMIT_L1B_RAD_001_20240522T145641_2414310_015,save_inference,START,1774366615.8353708
EMIT_L1B_RAD_001_20240522T145641_2414310_015,save_inference,END,1774366615.8841424
EMIT_L1B_RAD_001_20230428T055536_2311804_004,load_scene,START,1774366615.8841586
EMIT_L1B_RAD_001_20230428T055536_2311804_004,load_scene,END,1774366621.4861372
EMIT_L1B_RAD_001_20230428T055536_2311804_004,tile_image,START,1774366621.486379
EMIT_L1B_RAD_001_20230428T055536_2311804_004,tile_image,END,1774366622.274592
EMIT_L1B_RAD_001_20230428T055536_2311804_004,mag1c_prep,START,1774366622.2745998
EMIT_L1B_RAD_001_20230428T055536_2311804_004,mag1c_prep,END,1774366624.87324
EMIT_L1B_RAD_001_20230428T055536_2311804_004,mag1c_compute,START,1774366624.873246
EMIT_L1B_RAD_001_20230428T055536_2311804_004,mag1c_compute,END,1774366635.8659253
EMIT_L1B_RAD_001_20230428T055536_2311804_004,mag1c_post,START,1774366635.865934
EMIT_L1B_RAD_001_20230428T055536_2311804_004,mag1c_post,END,1774366635.8965812
EMIT_L1B_RAD_001_20230428T055536_2311804_004,normalize,START,1774366635.8965893
EMIT_L1B_RAD_001_20230428T055536_2311804_004,normalize,END,1774366636.0890388
EMIT_L1B_RAD_001_20230428T055536_2311804_004,inference_tiles,START,1774366636.0890555
EMIT_L1B_RAD_001_20230428T055536_2311804_004,inference_tiles,END,1774366639.8593736
EMIT_L1B_RAD_001_20230428T055536_2311804_004,post_tiles,START,1774366639.859383
EMIT_L1B_RAD_001_20230428T055536_2311804_004,post_tiles,END,1774366639.998275
EMIT_L1B_RAD_001_20230428T055536_2311804_004,stitch_tiles,START,1774366639.998289
EMIT_L1B_RAD_001_20230428T055536_2311804_004,stitch_tiles,END,1774366640.013805
EMIT_L1B_RAD_001_20230428T055536_2311804_004,create_out_dir,START,1774366640.0138168
EMIT_L1B_RAD_001_20230428T055536_2311804_004,create_out_dir,END,1774366640.0143836
EMIT_L1B_RAD_001_20230428T055536_2311804_004,save_inference,START,1774366640.0143867
EMIT_L1B_RAD_001_20230428T055536_2311804_004,save_inference,END,1774366640.063575
